positif positif
aktif positif
kebaikan positif
sangat positif
prestasi positif
tindakan positif
mengagumi positif
menggemaskan positif
petualangan positif
makmur positif
setuju positif
menyenangkan positif
hebat positif
angelic positif
menarik positif
menyetujui positif
bakat positif
indah positif
percaya positif
bermanfaat positif
kebahagiaan positif
berlimpah positif
karunia positif
berani positif
bravo positif
brilian positif
ceria positif
tenang positif
dirayakan positif
juara positif
menawan positif
pilihan positif
klasik positif
bersih positif
memuji positif
tersusun positif
selamat positif
konstan positif
keren positif
kreatif positif
lucu positif
menyilaukan positif
senang positif
dibedakan positif
ilahi positif
sungguh-sungguh positif
mudah positif
gembira positif
efektif positif
effervescent positif
efisien positif
usaha positif
electrifying positif
elegan positif
mempesona positif
mendorong positif
didukung positif
energik positif
berenergi positif
antusias positif
esensial positif
dihargai positif
etis positif
diterima positif
diakui positif
capai positif
bijaksana positif
berani positif
cukup positif
akrab positif
terkenal positif
fantastis positif
menguntungkan positif
mengambil positif
baik positif
brengsek negatif
rezim negatif
arogan negatif
curang negatif
oknum negatif
nepotisme negatif
korupsi negatif
kolusi negatif
pasif negatif
pelarian negatif
bodoh negatif
lemah negatif
glamor negatif
khianat negatif
pencuri negatif
dendam negatif
penghinaan negatif
bingung negatif
amazing negatif
menabrak negatif
mengkhawatirkan negatif
marah negatif
mengganggu negatif
cemas negatif
apati negatif
sangat negatif
mengerikan negatif
sangat buruk negatif
buruk negatif
dangkal negatif
berduri negatif
berperang negatif
bemoan negatif
rendahan negatif
membosankan negatif
rusak negatif
berperasaan negatif
mustahil negatif
kikuk negatif
kasar negatif 
dingin negatif
berhati dingin negatif
runtuh negatif
kontradiktif negatif
sebaliknya negatif
korosif negatif
korup negatif 
gila negatif
menyeramkan negatif
kriminal negatif
kejam negatif 
menangis negatif
memotong negatif
kerusakan negatif
merusak negatif
pengecut negatif
membusuk negatif
cacat negatif
tolak negatif
tercela negatif 
depresi negatif
dicabut negatif
tercela negatif
merugikan negatif
kotor negatif
penyakit negatif
menjijikkan negatif
terurai negatif
tidak jujur  negatif
memalukan negatif
negatif negatif
tekanan negatif
jangan negatif
mengerikan negatif 
mengikis negatif
